village,place,lon,lat,osm_id,heuristic_underserved_load,person_minutes_saved_one_way
Morristown,village,-72.6245744,44.5573065,158835690,30324.817416004465,6474.867338708091
West Waterford,hamlet,-71.9560183,44.3577512,158873282,35741.15350181963,6342.237768760966
Alpine Village,hamlet,-72.8342791,44.0686728,158866866,9026.020397144966,6338.234703732213
East Montpelier Center,hamlet,-72.5253853,44.2836701,158863019,23979.19401458044,6196.608793213894
Lyndon,village,-72.0109292,44.5142226,158820578,42192.80953545096,6113.215506765144
East Montpelier,village,-72.4857574,44.2715266,158813860,27191.865047727537,5863.930144448325
Gallup Mills,hamlet,-71.7841161,44.5745158,158810664,37215.72078294027,5642.344269027596
Lyndon Center,hamlet,-72.0127099,44.537478,158815112,40329.88135255301,5489.99047939809
North Moretown,hamlet,-72.7441821,44.3247296,158853289,19949.038749507148,5482.111366310763
Granby,hamlet,-71.7582797,44.570324,158866876,34407.08722192506,5463.838486514485
Lost Nation,hamlet,-71.8443433,44.6970759,158893117,61203.880860485464,5323.929956318553
Sugarbush Village,hamlet,-72.8925777,44.1414343,158851407,11610.388464878553,5068.138957274643
Colbyville,hamlet,-72.7423399,44.3503341,158812136,20961.635700114548,5020.263424575403
Northfield Falls,hamlet,-72.6503207,44.1720871,158823448,14313.758201075896,4887.465867747629
Edgewater,hamlet,-72.3342681,44.3236698,158798061,58482.44741085442,4768.347782433764
Guildhall,village,-71.560369,44.5647252,158872569,13519.061620023851,4748.880150571571
Dowsville,hamlet,-72.8242844,44.2725573,158807560,12930.308270407462,4738.255246704666
Guildhall Station,hamlet,-71.5878742,44.5664262,9933983066,14988.130283749451,4720.664244080152
Mill Village,hamlet,-71.6605686,44.4981065,158906844,24372.156114264704,4639.720837408226
Centerville,hamlet,-72.5865132,44.61958,158822293,58623.31081395088,4619.920158341374
Duxbury,village,-72.7526123,44.3270717,158861225,18916.680232298982,4610.845245590415
Plainfield,village,-72.425448,44.2780796,158837440,34815.54606048131,4402.834540633379
Moccasin Mill,hamlet,-71.8009427,44.5998356,158858970,39315.545101129974,4268.779664213774
Willoughby,hamlet,-72.1085072,44.703779,158823000,50855.34281177261,4266.445077119521
North Kirby,hamlet,-71.9383265,44.5159914,158836540,36077.29362341849,4174.5387401692715
East Lyndon,hamlet,-71.9577289,44.5198824,158873295,35806.96072379051,4170.651550637686
Stowe Fork,hamlet,-72.7562321,44.5022749,158814188,13033.004030316792,4155.180858583931
Tice,hamlet,-72.0349369,44.9799237,158822118,20751.03788654416,3698.970005126401
Lower Village,hamlet,-72.6935684,44.4589632,6028692280,24233.97901662813,3529.069792059894
West Berlin,hamlet,-72.6328878,44.2000603,158814935,14129.903076021747,3396.120209228473
Garfield,hamlet,-72.536687,44.6019961,158860905,82648.82389452442,3260.25582438091
North Duxbury,hamlet,-72.8290084,44.3583886,158805008,12481.749117970749,3098.8385751524247
Moscow,hamlet,-72.7153961,44.4414432,158859018,22991.162267708754,3077.1143762311895
Coles Corner,hamlet,-72.0581876,44.4935493,158855493,51173.225890549176,3042.944710930924
Lemington,hamlet,-71.5511382,44.8579842,158815568,8570.847758167336,2977.0987908047578
Montpelier Junction,hamlet,-72.6077199,44.2571009,158810668,21775.407472730243,2748.1259737022974
North Cambridge,hamlet,-72.8570756,44.686994,158855715,10980.65208926727,2726.874342961465
Barton,village,-72.1806582,44.7484736,158825946,60350.113043418896,2672.7323552669523
West Branch,hamlet,-72.7160004,44.4741727,158851377,19601.234404294228,2391.7389580759323
East Roxbury,hamlet,-72.6519245,44.0798794,158908597,8798.714047391946,2376.9667570316974
Arlins,hamlet,-71.5153972,44.9180728,158906501,7005.6432491829855,2294.6505711307946
Perkinsville,hamlet,-72.3981572,44.2208943,158823099,16857.177187123565,2124.1488370075326
Cleveland Corners,hamlet,-72.5630423,44.594246,158852835,66783.46809850715,1995.5404287829774
Cadys Falls,hamlet,-72.6121892,44.578065,158804025,35740.46435124405,1905.1567458704696
Mill Village,hamlet,-72.7472695,44.3416821,158896374,19791.281557973205,1751.3134117180036
Derby Line,village,-72.0996523,45.0053262,158900670,13942.361593496553,1703.1024701062001
South Barre,hamlet,-72.5056602,44.1770059,158874941,5501.79856801674,1645.858036460163
North Derby,hamlet,-72.1718887,45.0055052,158916330,12058.651200888138,1469.1748627596917
Lake Park,hamlet,-72.1949652,44.9951648,158866170,12559.758547975185,1373.6338515507703
Lindsay Beach,hamlet,-72.1888427,44.9693417,158809654,17948.024936921953,1371.0364608227335
Cambridge,village,-72.8766075,44.6449462,158805405,10600.840880866794,1055.6695200265588
Berlin Corners,hamlet,-72.5759414,44.2100604,158855906,12685.495320848444,1046.7926507839243
Beebe Plain,hamlet,-72.1413648,45.0054895,158814099,13169.509913235188,754.7258143691635
Simms Hill,hamlet,-71.5898756,44.8610227,158877336,10856.823342960182,190.8868421144464
