GEOID20,POP20
500059578001041,13
500059578001043,6
500059578001044,48
500059578001046,22
500059578001047,3
500059578001049,4
500059578001050,2
500059578001052,0
500059578001000,4
500059578001001,4
500059578001003,2
500059578001004,0
500059578001006,12
500059578001007,10
500059578001008,5
500059578001010,13
500059578001011,8
500059578002088,47
500059578002089,6
500059578002091,0
500059578002092,0
500059578002093,1
500059578002095,0
500059578002096,0
500059578002098,0
500059578003000,0
500059578003001,0
500059578003003,4
500059578003004,13
500059578003005,37
500059578003006,0
500059578003007,17
500059578003008,0
500059578003009,4
500059578003010,0
500059578003011,0
500059578003012,12
500059578003013,0
500059578003014,0
500059578003016,8
500059578003017,0
500059578003018,0
500059578003020,0
500059578003021,16
500059578003023,10
500059578003024,5
500059578003026,0
500059578003027,0
500059578003029,42
500059578003031,0
500059578003032,42
500059578003034,0
500059578003035,8
500059578003036,0
500059578003037,0
500059578003038,19
500059578003039,11
500059578003040,5
500059578003041,109
500059578003042,12
500059578003043,5
500059578003044,0
500059578003045,9
500059578003046,0
500059578003047,7
500059578003048,19
500059578003050,7
500059578003051,36
500059578003053,16
500059578003054,28
500059578003056,0
500059578003057,0
500059578003058,5
500059578003060,2
500059578003061,0
500059578003063,0
500059578003064,0
500059578003066,5
500059578003067,23
500059578003069,0
500059578003070,28
500059578003071,9
500059578003073,2
500059578003074,8
500059578003076,17
500059578003077,1
500059578003079,21
500059578003080,27
500059578003081,0
500059578003083,0
500059578003084,0
500059578003086,71
500059578003087,0
500059578003088,1
500059578003089,8
500059578003090,17
500059578003091,0
500059578003092,0
500059578003093,0
500059578003094,23
500059578003095,13
500059578003096,27
500059578003097,0
500059578003098,39
500059578003099,58
500059578003101,0
500059578003102,3
500059578001025,1
500059578001028,6
500059578001032,5
500059578001035,5
500059578001038,33
500059578001042,0
500059578001045,10
500059578001048,13
500059578001051,8
500059578003030,9
500059578003033,10
500059578003052,0
500059578003055,0
500059578003059,14
500059578003062,50
500059578003065,0
500059578003068,0
500059578003072,40
500059578003075,4
500059578003078,2
500059578003082,0
500059578003085,12
500059578003103,9
500059578001055,4
500059578001058,5
500059578001062,16
500059578001065,0
500059578001068,0
500059578001072,6
500059578002009,0
500059578002012,1
500059578002016,26
500059578002019,26
500059578002022,0
500059578002025,16
500059578002029,0
500059578002032,3
500059578002035,7
500059578002039,18
500059578002042,15
500059578002060,22
500059578002063,16
500059578002067,0
500059578002070,6
500059578002073,0
500059578002076,13
500059578002080,7
500059578002083,10
500059578002086,7
500059578001002,0
500059578001005,0
500059578001009,20
500059578002087,6
500059578002090,0
500059578002094,17
500059578002097,0
500059578003015,48
500059578003019,15
500059578003022,20
500059578003025,17
500059578003028,6
500059579001051,2
500059579002082,0
500059579002002,6
500059579002062,0
500059579003004,0
500059579003059,0
500059579001036,19
500059579001037,21
500059579001038,20
500059579002077,0
500059579002078,1
500059579002079,14
500059579002080,0
500059579002081,30
500059579002083,0
500059579002084,36
500059579002085,0
500059579002086,5
500059579002087,0
500059579002089,2
500059579002090,3
500059579002092,6
500059579002093,10
500059579002095,10
500059579002096,16
500059579002097,14
500059579002099,6
500059579002100,6
500059579002102,0
500059579002103,0
500059579002105,9
500059579002106,10
500059579002107,0
500059579002109,35
500059579002110,9
500059579002112,0
500059579002113,0
500059579002115,0
500059579002116,9
500059579001039,28
500059579001040,0
500059579001041,47
500059579001043,31
500059579001044,18
500059579001046,0
500059579001047,0
500059579001048,26
500059579001049,2
500059579001050,0
500059579001052,0
500059579001053,37
500059579001054,60
500059579001055,13
500059579001056,5
500059579001057,20
500059579001058,4
500059579001059,24
500059579001060,5
500059579001061,0
500059579001063,0
500059579001064,9
500059579001065,1
500059579001067,0
500059579001068,6
500059579001070,4
500059579001071,32
500059579001073,3
500059579001074,0
500059579001076,0
500059579001077,13
500059579001078,59
500059579001079,21
500059579001081,0
500059579001082,0
500059579001084,0
500059579001085,11
500059579001087,0
500059579001088,0
500059579001090,0
500059579001091,0
500059579001092,0
500059579001094,11
500059579001095,0
500059579001097,0
500059579001098,16
500059579001100,2
500059579001101,0
500059579001102,0
500059579001104,0
500059579001105,0
500059579001106,12
500059579001107,9
500059579001108,9
500059579001109,9
500059579001110,5
500059579001111,2
500059579001112,0
500059579001113,0
500059579001114,0
500059579001115,0
500059579002000,41
500059579002001,4
500059579002003,3
500059579002004,3
500059579002006,25
500059579002007,26
500059579002009,9
500059579002010,0
500059579002011,0
500059579002013,0
500059579002014,9
500059579002016,53
500059579002017,9
500059579002019,0
500059579002020,0
500059579002022,33
500059579002023,0
500059579002024,34
500059579002026,0
500059579002027,0
500059579002029,0
500059579002030,21
500059579002032,12
500059579002033,0
500059579002034,1
500059579002036,0
500059579002037,0
500059579002039,12
500059579002118,10
500059579002119,1
500059579002120,0
500059579002122,0
500059579002123,0
500059579002125,0
500059579002126,0
500059579002128,0
